ルートレベル,科目,参考書名,所要時間
日大,英語,肘井学の読解のための英文法が面白いほどわかる本（必修編）,56
早慶,英語,ポレポレ英文読解プロセス50,42
早慶,英語,東大英単語熟語鉄壁,315
日大,英語,日大追加長文,52.5
MARCH,英語,MARCH追加長文,52.5
早慶,英語,早慶追加長文,52.5
基礎徹底,国語,こわくない国語 文章の読解,28
基礎徹底,国語,できた!中3国語 読解 (中学基礎がため100%),28
基礎徹底,国語,中学国語力を伸ばす語彙 1700,45.5
日大,国語,ゼロから覚醒はじめよう現代文,10.5
日大,国語,新・現代文レベル別問題集 1 超基礎編,15.75
日大,国語,船口のゼロから読み解く 最強の現代文,15.75
日大,国語,入試現代文へのアクセス 基本編,21
日大,国語,新・現代文レベル別問題集 2 初級編,15.75
日大,国語,現代文キーワード読解,78.75
日大,国語,入試漢字マスター1800+ (～読みB１）,52.5
日大,国語,新・現代文レベル別問題集3 標準編,21
MARCH,国語,現代文読解力の開発講座,43.75
MARCH,国語,船口の最強の現代文記述 トレーニング,21
MARCH,国語,新・現代文レベル別問題集4 中級編,26.25
MARCH,国語,入試漢字マスター1800+(四字熟語A１～）,47.25
早慶,国語,新版 現代文 読解の基礎講義,15.75
早慶,国語,新・現代文レベル別問題集5 上級編,26.25
早慶,国語,世界一わかりやすい 早稲田の国語 合格講座,21
早慶,国語,早稲田の国語(現代文),31.5
日大,国語,読んで見て覚える 古文単語315,49
日大,国語,新・ゴロゴ古文単語,49
日大,国語,古文単語330 (いいずな書店),49
日大,国語,富井の古典文法を はじめからていねいに,28
日大,国語,ステップアップノート30 古典文法基礎ドリル,52.5
日大,国語,やさしくわかりやすい 古典文法,52.5
日大,国語,富井の古文読解をはじめからていねいに,21
日大,国語,古文レベル別問題集2 初級編,21
日大,国語,古文上達 基礎編 読解と演習45,52.5
日大,国語,古文レベル別問題集4 中級編,15.75
MARCH,国語,古文レベル別問題集5 上級編,28
MARCH,国語,読み解き古文単語,42
早慶,国語,早稲田の国語(古文),28
早慶,国語,世界一わかりやすい 早稲田の国語 合格講座,14
日大,国語,漢文早覚え速答法,52.5
日大,国語,ステップアップノート10 漢文句形ドリルと演習,17.5
日大,国語,マーク式基礎問題集 漢文,21
日大,国語,岡本のたった3時間で漢文句法,14
MARCH,国語,共通・センター過去問,14
早慶,国語,改訂版 世界一わかりやすい 早稲田の国語 合格講座,10.5
早慶,国語,早稲田の国語(漢文),10.5
日大,政治経済,大学入学共通テスト政治・経済　集中講義,56
日大,政治経済,大学入学共通テストへの道　政治・経済,42
日大,政治経済,蔭山の共通テスト　政治・経済（問題集と併用）,49
MARCH,政治経済,私大攻略の政治・経済　要点整理と問題演習,56
MARCH,政治経済,政治・経済　計算＆論述特訓　問題集,126
MARCH,政治経済,大学入試　蔭山克秀の政治・経済が面白いほどわかる本（問題集と併用）,77
早慶,政治経済,政治・経済　標準問題精講,126
基礎徹底,世界史,伊藤のたった10時間で世界史探求古代～近世/近代～現代＋文化史,0
基礎徹底,世界史,小学生でもわかる世界史,0
日大,世界史,大学入試　茂木誠の世界史探求が面白いほどわかる本,112
日大,世界史,ストーリーでわかる世界史探求[古代・中世・近世]、[近代・現代],112
日大,世界史,時代と流れで覚える！世界史用語,168
日大,世界史,世界史　基礎問題精講,140
MARCH,世界史,大学入試　茂木誠の世界史探求が面白いほどわかる本,140
MARCH,世界史,ストーリーでわかる世界史探求[古代・中世・近世]、[近代・現代],140
MARCH,世界史,斎藤の世界史一問一答　探求対応版　★★★、★★のみ,112
MARCH,世界史,東進　世界史一問一答　完全版　★★★、★★のみ,112
MARCH,世界史,世界史用語マルチトレーニング,140
MARCH,世界史,HISTORIA 世界史精選問題集,84
早慶,世界史,大学入試　茂木誠の世界史探求が面白いほどわかる本,98
早慶,世界史,ストーリーでわかる世界史探求[古代・中世・近世]、[近代・現代],98
早慶,世界史,斎藤の世界史一問一答　探求対応版(★1まで),42
早慶,世界史,東進　世界史一問一答　完全版(★0まで),42
早慶,世界史,早稲田大学入試対策用　世界史問題集,0
早慶,世界史,慶応義塾大学入試対策用　世界史問題集,0
日大,日本史,金谷の日本史「なぜ」と「流れ」がわかる本,98
日大,日本史,時代と流れで覚える！日本史用語,147
日大,日本史,日本史 基礎問題精講,105
MARCH,日本史,詳説日本史,196
MARCH,日本史,.日本史探究 授業の実況中継①～④,196
MARCH,日本史,日本史一問一答　（完全版★★★、★★のみ）,157.5
MARCH,日本史,日本史用語2レベル定着 トレーニング,196
MARCH,日本史,実力をつける日本史100題,105
早慶,日本史,日本史一問一答 完全版 ★、★なしのみ,84
早慶,日本史,日本史史料問題一問一答　完全版,42
早慶,日本史,"早稲田大学入試対策用　日本史問題集",84
早慶,日本史,"慶応義塾大学入試対策用　日本史問題集",84
基礎徹底,数学,やさしい中学数学,42
基礎徹底,数学,やさしい高校数学(数学Ⅰ・Ａ),105
基礎徹底,数学,高校これでわかる問題集 数学Ⅰ+A(入試問題除く),105
基礎徹底,数学,やさしい高校数学(数学Ⅱ・Ｂ),147
基礎徹底,数学,高校これでわかる問題集 数学Ⅱ+B(入試問題除く),147
日大,数学,数学Ⅰ・A 入門問題精講,87.5
日大,数学,数学Ⅰ・A 基礎問題精講,105
日大,数学,数学Ⅱ・B 入門問題精講,70
日大,数学,坂田アキラのベクトルが面白いほどわかる本,35
日大,数学,数学Ⅱ・B＋ベクトル 基礎問題精講,105
日大,数学,大学入試数学 落とせない必須 101題 スタンダードレベル,70
日大,数学,ドラゴン桜式 数学力ドリル 数学1・A,24.5
日大,数学,ドラゴン桜式 数学力ドリル 数学2・B・C,38.5
早慶,数学,文系の数学 重要事項完全習得編,126
早慶,数学,文系の数学 実践力向上編,126
基礎徹底,数学,やさしい高校数学(数学Ⅲ・C),168
MARCH,数学,数学Ⅲ 入門問題精講,87.5
MARCH,数学,数学Ⅲ 基礎問題精講,70
MARCH,数学,ドラゴン桜式 数学力ドリル 数学3,24.5
早慶,数学,数学の良問問題集 [数学Ⅰ+A+Ⅱ+B+Ⅲ],252
基礎徹底,物理,高校とってもやさしい物理基礎,56
基礎徹底,物理,これでわかる物理基礎(入試問題除く),56
基礎徹底,物理,高校とってもやさしい物理,98
基礎徹底,物理,これでわかる物理(入試問題除く),98
基礎徹底,物理,秘伝の物理問題集 難易度1-3,84
基礎徹底,物理,ゴールデンルート基礎編,42
基礎徹底,物理,秘伝の物理問題集 難易度4-5,154
日大,物理,高校これでわかる基礎問題集　物理基礎,56
日大,物理,高校これでわかる基礎問題集　物理,98
日大,物理,物理(物理基礎・物理) 入門問題精講,98
日大,物理,全レベル問題集 物理 2 共通テストレベル,112
MARCH,物理,良問の風 物理,112
MARCH,物理,物理の質問91,126
早慶,物理,名問の森 物理 力学・熱・波動Ⅰ,84
早慶,物理,名問の森 物理 波動Ⅱ・電磁気・原子,84
基礎徹底,化学,高校これでわかる基礎問題集 化学基礎,14
基礎徹底,化学,高校これでわかる基礎問題集 化学,35
基礎徹底,化学,化学［化学基礎・化学］入門問題精講,42
基礎徹底,化学,宇宙一わかりやすい高校化学 理論化学(別冊問題集),42
基礎徹底,化学,宇宙一わかりやすい高校化学 無機化学(別冊問題集),28
基礎徹底,化学,宇宙一わかりやすい高校化学 有機化学(別冊問題集),42
日大,化学,リードLightノート 化学基礎,35
日大,化学,リードLightノート 化学,70
日大,化学,化学［化学基礎・化学］基礎問題精講,28
日大,化学,全レベル問題集 化学 2 共通テストレベル,56
日大,化学,橋爪のゼロから劇的にわかる理論化学の授業　改訂版,56
日大,化学,橋爪のゼロから劇的にわかる無機・有機化学の授業　改訂版,84
日大,化学,宇宙一覚えやすい 化学反応式ハンドブック,63
日大,化学,視覚でとらえる フォトサイエンス 化学図録,0
MARCH,化学,化学 重要問題集 化学基礎・化学　A問題,140
MARCH,化学,大学入試 最重要知識スピードチェック,42
MARCH,化学,改訂版 ここで差がつく 有機化合物の構造決定 問題の要点・演習,28
早慶,化学,化学 重要問題集 化学基礎・化学　B問題,84
基礎徹底,化学,高校とってもやさしい化学基礎,35
基礎徹底,化学,高校とってもやさしい化学,70
MARCH,化学,化学頻出！スタンダード問題 230選,0
基礎徹底,化学,二見太郎の早わかり化学,0
MARCH,化学,鎌田の理論化学の講義,35
MARCH,化学,福間の無機化学の講義,35
MARCH,化学,鎌田の有機化学の講義,35
早慶,化学,化学の新研究,0
早慶,化学,化学の新演習,0
早慶,化学,化学 標準問題精講,35
基礎徹底,生物,山川善輝の生物基礎が面白いほどわかる本,35
基礎徹底,生物,山川善輝の生物が面白いほどわかる本,70
基礎徹底,生物,(旧課程)大学入学共通テスト 生物基礎の点数が面白いほどとれる本,35
基礎徹底,生物,(旧課程)大学入学共通テスト 生物の点数が面白いほどとれる本,70
基礎徹底,生物,高校これでわかる基礎問題集 生物基礎,28
基礎徹底,生物,高校これでわかる基礎問題集 生物,42
基礎徹底,生物,生物［生物基礎・生物］入門問題精講,49
日大,生物,(旧課程)生物合格　77講,140
日大,生物,リードLightノート 生物基礎,35
日大,生物,リードLightノート 生物,63
日大,生物,(旧課程)生物問題集　合格177問　(★3のみ),63
MARCH,生物,"(旧課程)生物問題集　合格177問　(★2,1)",42
早慶,生物,(旧課程)生物問題集 合格100問　【定番難問編】,126
早慶,生物,難関校過去問シリーズ,0
日大,生物,生物基礎の必修整理ノート,35
日大,生物,生物の必修整理ノート,70
MARCH,生物,生物[生物基礎・生物]　基礎問題精講,0
早慶,生物,大森徹の最強講義117講 生物　生物基礎・生物,0
